,bill_length_mm,bill_depth_mm,body_mass_g,island_Biscoe,island_Dream,island_Torgersen,sex_male
183,46.3,15.8,5050.0,1,0,0,1.0
322,40.9,16.6,3200.0,0,1,0,0.0
140,36.8,18.5,3500.0,0,1,0,0.0
94,36.3,19.5,3800.0,0,1,0,1.0
136,39.0,17.1,3050.0,0,0,1,0.0
31,35.3,18.9,3800.0,1,0,0,0.0
349,52.2,18.8,3450.0,0,1,0,1.0
179,48.7,15.1,5350.0,1,0,0,1.0
127,41.1,18.6,3325.0,0,0,1,1.0
338,50.8,18.5,4450.0,0,1,0,1.0
226,46.2,14.4,4650.0,1,0,0,
0,39.1,18.7,3750.0,0,0,1,1.0
176,42.0,13.5,4150.0,1,0,0,0.0
23,42.5,20.7,4500.0,0,0,1,1.0
109,41.0,20.0,4725.0,1,0,0,1.0
330,46.9,16.6,2700.0,0,1,0,0.0
313,48.5,17.5,3400.0,0,1,0,1.0
292,46.5,17.9,3500.0,0,1,0,0.0
323,54.2,20.8,4300.0,0,1,0,1.0
9,42.0,20.2,4250.0,0,0,1,
303,51.7,20.3,3775.0,0,1,0,1.0
277,48.1,15.1,5500.0,1,0,0,1.0
307,50.5,19.6,4050.0,0,1,0,1.0
95,36.9,18.6,3500.0,0,1,0,0.0
334,50.9,19.1,3550.0,0,1,0,1.0
128,36.2,17.2,3150.0,0,0,1,0.0
318,50.5,18.4,3400.0,0,1,0,0.0
171,49.0,16.1,5550.0,1,0,0,1.0
11,37.8,17.3,3700.0,0,0,1,
227,49.5,16.2,5800.0,1,0,0,1.0
213,50.1,15.0,5000.0,1,0,0,1.0
333,46.2,17.5,3650.0,0,1,0,0.0
250,47.4,14.6,4725.0,1,0,0,0.0
286,47.2,13.7,4925.0,1,0,0,0.0
108,35.0,17.9,3725.0,1,0,0,0.0
288,46.8,14.3,4850.0,1,0,0,0.0
353,45.6,19.4,3525.0,0,1,0,0.0
12,41.1,17.6,3200.0,0,0,1,0.0
251,50.0,15.9,5350.0,1,0,0,1.0
74,35.5,16.2,3350.0,1,0,0,0.0
329,52.0,20.7,4800.0,0,1,0,1.0
68,35.7,16.9,3150.0,1,0,0,0.0
205,43.6,13.9,4900.0,1,0,0,0.0
199,48.7,15.7,5350.0,1,0,0,1.0
129,37.7,19.8,3500.0,0,0,1,1.0
48,36.5,18.0,3150.0,0,1,0,0.0
325,51.0,18.8,4100.0,0,1,0,1.0
316,46.7,17.9,3300.0,0,1,0,0.0
6,38.9,17.8,3625.0,0,0,1,0.0
326,49.7,18.6,3600.0,0,1,0,1.0
149,40.6,17.2,3475.0,0,1,0,1.0
132,35.2,15.9,3050.0,0,0,1,0.0
98,35.7,18.0,3550.0,0,1,0,0.0
189,50.0,15.3,5550.0,1,0,0,1.0
174,45.8,14.6,4200.0,1,0,0,0.0
257,52.1,17.0,5550.0,1,0,0,1.0
66,36.5,16.6,2850.0,1,0,0,0.0
81,45.8,18.9,4150.0,0,0,1,1.0
168,43.3,13.4,4400.0,1,0,0,0.0
304,47.0,17.3,3700.0,0,1,0,0.0
155,36.6,18.4,3475.0,0,1,0,0.0
356,45.7,17.0,3650.0,0,1,0,0.0
172,45.5,13.7,4650.0,1,0,0,0.0
161,50.0,16.3,5700.0,1,0,0,1.0
336,50.9,17.9,3675.0,0,1,0,0.0
101,39.6,18.1,4450.0,0,1,0,1.0
347,50.7,19.7,4050.0,0,1,0,1.0
302,46.6,17.8,3800.0,0,1,0,0.0
348,42.5,17.3,3350.0,0,1,0,0.0
77,41.8,19.4,4450.0,0,0,1,1.0
254,43.4,14.4,4600.0,1,0,0,0.0
291,49.9,16.1,5400.0,1,0,0,1.0
236,43.5,14.2,4700.0,1,0,0,0.0
237,50.7,15.0,5550.0,1,0,0,1.0
85,37.2,19.4,3900.0,0,0,1,1.0
42,36.4,17.0,3325.0,0,1,0,0.0
166,45.4,14.6,4800.0,1,0,0,0.0
314,43.2,16.6,2900.0,0,1,0,0.0
355,46.8,16.5,3650.0,0,1,0,0.0
46,37.6,19.3,3300.0,0,1,0,0.0
5,39.3,20.6,3650.0,0,0,1,1.0
106,33.1,16.1,2900.0,0,1,0,0.0
163,50.0,15.2,5700.0,1,0,0,1.0
154,39.2,18.6,4250.0,0,1,0,1.0
2,40.3,18.0,3250.0,0,0,1,0.0
1,39.5,17.4,3800.0,0,0,1,0.0
76,35.9,16.6,3050.0,0,0,1,0.0
116,38.1,17.0,3175.0,1,0,0,0.0
75,41.1,19.1,4100.0,1,0,0,1.0
204,50.5,15.9,5550.0,1,0,0,1.0
28,35.9,19.2,3800.0,1,0,0,0.0
301,51.3,19.9,3700.0,0,1,0,1.0
344,51.4,19.0,3950.0,0,1,0,1.0
361,50.2,18.7,3775.0,0,1,0,0.0
107,43.2,18.5,4100.0,0,1,0,1.0
146,37.0,16.5,3400.0,0,1,0,0.0
359,49.6,18.2,3775.0,0,1,0,1.0
41,40.9,18.9,3900.0,0,1,0,1.0
233,45.2,17.8,3950.0,0,1,0,0.0
216,43.8,13.9,4300.0,1,0,0,0.0
187,47.8,15.0,5650.0,1,0,0,1.0
102,36.2,17.3,3300.0,0,1,0,0.0
89,42.9,17.6,4700.0,0,0,1,1.0
10,37.8,17.1,3300.0,0,0,1,
131,41.4,18.5,3875.0,0,0,1,1.0
272,47.3,13.8,4725.0,1,0,0,
177,49.2,15.2,6300.0,1,0,0,1.0
104,38.1,18.6,3700.0,0,1,0,0.0
327,47.5,16.8,3900.0,0,1,0,0.0
191,42.8,14.2,4700.0,1,0,0,0.0
255,51.3,14.2,5300.0,1,0,0,1.0
285,48.8,16.2,6000.0,1,0,0,1.0
261,49.5,16.1,5650.0,1,0,0,1.0
45,42.2,18.5,3550.0,0,1,0,0.0
269,55.9,17.0,5600.0,1,0,0,1.0
35,40.5,18.9,3950.0,1,0,0,1.0
151,40.7,17.0,3725.0,0,1,0,1.0
52,37.0,16.9,3000.0,0,1,0,0.0
225,49.8,16.8,5700.0,1,0,0,1.0
180,50.2,14.3,5700.0,1,0,0,1.0
345,45.7,17.3,3600.0,0,1,0,0.0
276,43.3,14.0,4575.0,1,0,0,0.0
328,47.6,18.3,3850.0,0,1,0,0.0
43,39.2,21.1,4150.0,0,1,0,1.0
203,49.6,15.0,4750.0,1,0,0,1.0
223,54.3,15.7,5650.0,1,0,0,1.0
339,50.1,17.9,3400.0,0,1,0,0.0
360,50.8,19.0,4100.0,0,1,0,1.0
